transaction_id,sender_id,receiver_id,amount,timestamp
TXN_0167,ACC_1749,ACC_4029,497.79,2026-02-19T08:01:00
TXN_0020,ACC_2627,ACC_8320,29.21,2026-02-19T08:04:00
TXN_0103,ACC_5962,ACC_1179,27.53,2026-02-19T08:13:00
TXN_0127,ACC_5341,ACC_7245,104.91,2026-02-19T08:22:00
TXN_0143,ACC_7340,ACC_4736,269.46,2026-02-19T08:33:00
TXN_0378,ACC_4705,ACC_2998,106.51,2026-02-19T08:37:00
TXN_0293,ACC_1702,ACC_7900,446.81,2026-02-19T08:38:00
TXN_0112,ACC_9508,ACC_1164,182.55,2026-02-19T08:40:00
TXN_0332,ACC_5836,ACC_2540,137.27,2026-02-19T08:41:00
TXN_0263,ACC_5433,ACC_3808,323.02,2026-02-19T08:45:00
TXN_0164,ACC_2355,ACC_2491,342.2,2026-02-19T08:47:00
TXN_0270,ACC_8337,ACC_9355,62.46,2026-02-19T08:59:00
TXN_0123,ACC_2021,ACC_8413,484.41,2026-02-19T09:04:00
TXN_0050,ACC_5205,ACC_6210,138.16,2026-02-19T09:04:00
TXN_0018,ACC_2540,ACC_7290,50.87,2026-02-19T09:06:00
TXN_0340,ACC_6268,ACC_9532,327.27,2026-02-19T09:09:00
TXN_0012,ACC_5856,ACC_2998,159.08,2026-02-19T09:10:00
TXN_0233,ACC_6428,ACC_2654,142.66,2026-02-19T09:15:00
TXN_0225,ACC_5448,ACC_1413,291.53,2026-02-19T09:16:00
TXN_0315,ACC_3628,ACC_9508,475.45,2026-02-19T09:22:00
TXN_0236,ACC_1076,ACC_2815,286.47,2026-02-19T09:23:00
TXN_0245,ACC_2322,ACC_1076,379.53,2026-02-19T09:38:00
TXN_0401,WASH_A,WASH_B,9500.0,2026-02-19T09:40:00
TXN_0250,ACC_7275,ACC_2540,477.66,2026-02-19T09:40:00
TXN_0312,ACC_2815,ACC_7614,488.22,2026-02-19T09:42:00
TXN_0402,WASH_B,WASH_C,9450.0,2026-02-19T09:45:00
TXN_0403,WASH_C,WASH_A,9400.0,2026-02-19T09:50:00
TXN_0009,ACC_1179,ACC_2627,338.19,2026-02-19T09:52:00
TXN_0309,ACC_7245,ACC_4705,457.97,2026-02-19T09:54:00
TXN_0173,ACC_9540,ACC_5496,91.79,2026-02-19T09:55:00
TXN_0220,ACC_2654,ACC_4144,290.51,2026-02-19T10:00:00
TXN_0090,ACC_7226,ACC_8131,350.86,2026-02-19T10:01:00
TXN_0269,ACC_2021,ACC_7625,369.54,2026-02-19T10:02:00
TXN_0294,ACC_5585,ACC_4029,82.62,2026-02-19T10:07:00
TXN_0067,ACC_3808,ACC_5433,27.33,2026-02-19T10:14:00
TXN_0241,ACC_5448,ACC_6909,219.99,2026-02-19T10:19:00
TXN_0248,ACC_7226,ACC_6377,303.88,2026-02-19T10:20:00
TXN_0011,ACC_9092,ACC_7253,409.3,2026-02-19T10:22:00
TXN_0221,ACC_2355,ACC_9540,381.92,2026-02-19T10:27:00
TXN_0195,ACC_8413,ACC_2841,314.83,2026-02-19T10:28:00
TXN_0356,ACC_3832,ACC_6268,150.06,2026-02-19T10:32:00
TXN_0229,ACC_8899,ACC_5496,238.93,2026-02-19T10:32:00
TXN_0153,ACC_8569,ACC_2841,129.0,2026-02-19T10:32:00
TXN_0203,ACC_5132,ACC_2521,436.12,2026-02-19T10:36:00
TXN_0158,ACC_4914,ACC_2627,418.19,2026-02-19T10:39:00
TXN_0328,ACC_6377,ACC_6679,322.81,2026-02-19T10:46:00
TXN_0184,ACC_2815,ACC_3439,404.2,2026-02-19T10:50:00
TXN_0219,ACC_5905,ACC_4436,417.86,2026-02-19T10:53:00
TXN_0204,ACC_7275,ACC_8440,78.45,2026-02-19T11:00:00
TXN_0049,ACC_9508,ACC_3063,171.75,2026-02-19T11:02:00
TXN_0101,ACC_6909,ACC_4396,301.41,2026-02-19T11:08:00
TXN_0395,ACC_4029,ACC_9092,25.32,2026-02-19T11:10:00
TXN_0111,ACC_1363,ACC_1164,119.37,2026-02-19T11:10:00
TXN_0404,BOSS,MULE_1,2000.0,2026-02-19T11:20:00
TXN_0406,BOSS,MULE_2,2000.0,2026-02-19T11:21:00
TXN_0408,BOSS,MULE_3,2000.0,2026-02-19T11:22:00
TXN_0410,BOSS,MULE_4,2000.0,2026-02-19T11:23:00
TXN_0028,ACC_5448,ACC_4144,394.12,2026-02-19T11:26:00
TXN_0064,ACC_1179,ACC_8440,240.58,2026-02-19T11:30:00
TXN_0232,ACC_5905,ACC_6428,381.07,2026-02-19T11:32:00
TXN_0214,ACC_2540,ACC_7614,216.07,2026-02-19T11:32:00
TXN_0376,ACC_7900,ACC_7605,321.73,2026-02-19T11:34:00
TXN_0168,ACC_9355,ACC_6428,383.94,2026-02-19T11:34:00
TXN_0274,ACC_3713,ACC_2021,146.48,2026-02-19T11:35:00
TXN_0255,ACC_4029,ACC_6909,336.86,2026-02-19T11:39:00
TXN_0217,ACC_5373,ACC_5585,199.21,2026-02-19T11:41:00
TXN_0230,ACC_6268,ACC_4525,342.07,2026-02-19T11:48:00
TXN_0371,ACC_7275,ACC_7680,471.82,2026-02-19T11:48:00
TXN_0339,ACC_4525,ACC_4914,332.48,2026-02-19T11:50:00
TXN_0196,ACC_2540,ACC_9355,219.94,2026-02-19T11:53:00
TXN_0308,ACC_5132,ACC_6210,75.5,2026-02-19T11:53:00
TXN_0040,ACC_1179,ACC_8337,249.19,2026-02-19T11:55:00
TXN_0284,ACC_9532,ACC_2355,412.62,2026-02-19T12:05:00
TXN_0366,ACC_6934,ACC_5132,144.64,2026-02-19T12:06:00
TXN_0010,ACC_1363,ACC_5496,301.6,2026-02-19T12:12:00
TXN_0045,ACC_1363,ACC_5879,360.98,2026-02-19T12:12:00
TXN_0193,ACC_1179,ACC_5496,217.58,2026-02-19T12:14:00
TXN_0088,ACC_5879,ACC_3933,180.73,2026-02-19T12:14:00
TXN_0134,ACC_7253,ACC_6934,127.34,2026-02-19T12:18:00
TXN_0006,ACC_1702,ACC_9355,149.27,2026-02-19T12:18:00
TXN_0370,ACC_2815,ACC_3713,423.45,2026-02-19T12:21:00
TXN_0227,ACC_7245,ACC_2654,186.84,2026-02-19T12:22:00
TXN_0169,ACC_4029,ACC_4914,480.97,2026-02-19T12:35:00
TXN_0231,ACC_4436,ACC_4705,316.34,2026-02-19T12:36:00
TXN_0329,ACC_2322,ACC_6582,443.22,2026-02-19T12:39:00
TXN_0266,ACC_1749,ACC_5836,208.57,2026-02-19T12:43:00
TXN_0265,ACC_3835,ACC_7900,185.58,2026-02-19T12:44:00
TXN_0253,ACC_2521,ACC_7245,131.55,2026-02-19T12:47:00
TXN_0017,ACC_4736,ACC_2962,477.15,2026-02-19T12:47:00
TXN_0019,ACC_3628,ACC_6909,312.06,2026-02-19T12:52:00
TXN_0307,ACC_1005,ACC_6582,318.16,2026-02-19T12:53:00
TXN_0172,ACC_9508,ACC_8413,419.5,2026-02-19T12:56:00
TXN_0244,ACC_1413,ACC_9532,327.91,2026-02-19T12:59:00
TXN_0079,ACC_2389,ACC_3832,409.41,2026-02-19T12:59:00
TXN_0138,ACC_4240,ACC_3439,71.1,2026-02-19T13:00:00
TXN_0405,MULE_1,CLEAN_TARGET,1950.0,2026-02-19T13:00:00
TXN_0407,MULE_2,CLEAN_TARGET,1950.0,2026-02-19T13:01:00
TXN_0106,ACC_6582,ACC_1076,75.68,2026-02-19T13:01:00
TXN_0409,MULE_3,CLEAN_TARGET,1950.0,2026-02-19T13:02:00
TXN_0411,MULE_4,CLEAN_TARGET,1950.0,2026-02-19T13:03:00
TXN_0078,ACC_7245,ACC_7226,216.1,2026-02-19T13:09:00
TXN_0375,ACC_3835,ACC_2075,449.61,2026-02-19T13:11:00
TXN_0026,ACC_3835,ACC_2815,392.32,2026-02-19T13:15:00
TXN_0046,ACC_4396,ACC_7300,263.94,2026-02-19T13:18:00
TXN_0132,ACC_5373,ACC_1076,351.77,2026-02-19T13:22:00
TXN_0038,ACC_5341,ACC_2654,326.52,2026-02-19T13:24:00
TXN_0072,ACC_5433,ACC_4144,59.71,2026-02-19T13:27:00
TXN_0205,ACC_5373,ACC_1702,198.68,2026-02-19T13:29:00
TXN_0152,ACC_1413,ACC_7226,13.21,2026-02-19T13:39:00
TXN_0299,ACC_2567,ACC_3346,187.53,2026-02-19T13:40:00
TXN_0353,ACC_5200,ACC_9532,175.67,2026-02-19T13:51:00
TXN_0238,ACC_9508,ACC_5905,39.47,2026-02-19T13:52:00
TXN_0218,ACC_8440,ACC_5836,159.21,2026-02-19T13:55:00
TXN_0130,ACC_3444,ACC_8899,435.71,2026-02-19T13:57:00
TXN_0344,ACC_7226,ACC_3466,322.65,2026-02-19T13:57:00
TXN_0300,ACC_2540,ACC_2355,290.3,2026-02-19T13:58:00
