transaction_id,sender_id,receiver_id,amount,timestamp
TXN_1001,ACC_WHALE,ACC_FRONT_01,50000,2026-05-11T09:00:00Z
TXN_1002,ACC_WHALE,ACC_FRONT_02,50000,2026-05-11T09:05:00Z
TXN_1003,ACC_WHALE,ACC_FRONT_03,50000,2026-05-11T09:10:00Z
TXN_1004,ACC_FRONT_01,ACC_MIX_A,15000,2026-05-11T09:20:00Z
TXN_1005,ACC_FRONT_01,ACC_MIX_B,34000,2026-05-11T09:25:00Z
TXN_1006,ACC_FRONT_02,ACC_MIX_A,25000,2026-05-11T09:30:00Z
TXN_1007,ACC_FRONT_02,ACC_MIX_C,24000,2026-05-11T09:35:00Z
TXN_1008,ACC_FRONT_03,ACC_MIX_B,15000,2026-05-11T09:40:00Z
TXN_1009,ACC_FRONT_03,ACC_MIX_C,34000,2026-05-11T09:45:00Z
TXN_1010,ACC_MIX_A,ACC_OFFSHORE_HQ,39000,2026-05-11T10:00:00Z
TXN_1011,ACC_MIX_B,ACC_OFFSHORE_HQ,48000,2026-05-11T10:05:00Z
TXN_1012,ACC_MIX_C,ACC_OFFSHORE_HQ,57000,2026-05-11T10:10:00Z
TXN_1013,ACC_OFFSHORE_HQ,ACC_SHELL_CORP,140000,2026-05-11T10:30:00Z
TXN_1014,ACC_SHELL_CORP,ACC_WHALE,135000,2026-05-11T11:00:00Z
TXN_2001,ACC_NORM_1,ACC_MERCHANT,120,2026-05-11T09:15:00Z
TXN_2002,ACC_NORM_2,ACC_MERCHANT,350,2026-05-11T09:42:00Z
TXN_2003,ACC_NORM_3,ACC_MERCHANT,45,2026-05-11T10:12:00Z
TXN_2004,ACC_MERCHANT,ACC_SUPPLIER,400,2026-05-11T11:30:00Z
TXN_3001,ACC_SCAM_TARGET,ACC_MULE_1,8000,2026-05-11T08:00:00Z
TXN_3002,ACC_MULE_1,ACC_MULE_2,7900,2026-05-11T08:15:00Z
TXN_3003,ACC_MULE_2,ACC_MULE_3,7800,2026-05-11T08:30:00Z
TXN_3004,ACC_MULE_3,ACC_CRYPTO_EX,7700,2026-05-11T08:45:00Z
